,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
10,10,29,18.528179933906564,0.93,0.03732826638238256,0.0597252262118121,0.06422067334603451,0.625,0.8869466513004564,26.630573205296198,287.6440380062534,273.2546216704168,0.957902383404493,2.6394388661957526,152.68562484100485,-150.0461859748091,21.275619790787356,15.116268045645297,37.23409602536774,2.5,2.3427043616140213,-4189.478655449585,21.94362957642897,16.94362957642897,57.84775953575013,649.2435452433178,356.2250181411551
11,11,29,17.5913341780593,0.93,0.03732826638238256,0.0597252262118121,0.06422067334603451,0.625,0.8420997095664129,25.284043779731547,273.09980877476886,259.4379686861101,0.909467686331726,2.6394388661957526,152.68562484100485,-150.0461859748091,21.275619790787356,15.4277051410206,38.00122179212776,2.5,2.3456836677155546,-3982.7033485480783,21.94362957642897,16.94362957642897,57.84775953575013,649.2435452433178,356.2250181411551
12,12,29,10.635390055263025,0.0016662053952276928,7.732487513164682e-05,0.0001237198002106349,0.07425243044164322,0.625,5.925152828935293e-05,0.0017790271368878217,0.01564280765421119,0.014860294097667669,6.399165055250117e-05,4.097894003347132,364.27612919739806,-360.17823519405096,0.0024760739790652157,0.002064605032611376,0.008731750647179062,2.5,0.008701359406925957,-21.440888155299305,29.35098981634016,24.35098981634016,88.89349722073334,904.8189549810974,20.01356270257195
13,13,29,10.635390055263025,0.0016662053952276928,7.732487513164682e-05,0.0001237198002106349,0.07425243044164322,0.625,5.925152828935293e-05,0.0017790271368878217,0.01564280765421119,0.014860294097667669,6.399165055250117e-05,3.125638040766453,277.84889648989105,-274.7232584491246,0.0024760739790652157,0.002064605032611376,0.006658495940284695,2.5,0.006640808820855147,-12.481150063067258,24.741645529283435,19.741645529283435,88.89349722073334,904.8189549810974,20.01356270257195
14,14,29,10.635390055263025,0.0016662053952276928,7.732487513164682e-05,0.0001237198002106349,0.07425243044164322,0.625,5.925152828935293e-05,0.0017790271368878217,0.01564280765421119,0.014860294097667669,6.399165055250117e-05,4.097894003347132,271.3821715067379,-267.2842775033908,0.0024760739790652157,0.002064605032611376,0.006497646737307901,2.5,0.006480802750568953,-11.850602052221651,29.35098981634016,24.35098981634016,66.22479041309386,904.8189549810974,20.01356270257195
15,15,29,10.635390055263025,0.0016854413079334825,7.839714579143852e-05,0.00012543543326630163,0.07442290198766865,0.625,6.007317430202768e-05,0.001803697058418381,0.0158597278064367,0.015066363067448435,6.487902824618989e-05,4.097894003347132,364.27612919739806,-360.17823519405096,0.002510409908799407,0.002093235087257548,0.008733792762488849,2.5,0.008703387329980161,-21.445885129836196,29.35098981634016,24.35098981634016,88.89349722073334,917.151660409002,20.01356270257195
16,16,29,10.635390055263025,0.93,0.03875572541519494,0.0620091606643119,0.06667651684334612,0.625,0.6964152999027876,20.909869379581195,318.5087488063407,302.5721903638043,0.7521285238950106,4.097894003347132,364.27612919739806,-360.17823519405096,29.102638404384397,24.266421043948373,102.62899407312443,2.5,2.4405492266419606,-6013.720449735903,29.35098981634016,24.35098981634016,88.89349722073334,904.8189549810974,469.328049156031
17,17,29,8.658790020498408,0.0016662053952276928,7.732487513164682e-05,0.0001237198002106349,0.07425243044164322,0.625,4.823956048487778e-05,0.0014483928035584552,0.012735573035408544,0.012098490564610891,5.2098725323668004e-05,4.097894003347132,364.27612919739806,-360.17823519405096,0.0024760739790652157,0.0021410770312535648,0.009055170581301007,2.5,0.009022490505064396,-18.10030459021138,29.35098981634016,24.35098981634016,88.89349722073334,904.8189549810974,20.01356270257195
18,18,29,8.658790020498408,0.93,0.03884934737846002,0.06215895580553603,0.06683758688767315,0.625,0.5683553424732394,17.06486915775901,260.32545661257046,247.30006857308058,0.6138237698710985,4.097894003347132,271.3821715067379,-267.2842775033908,29.17294146578817,25.226029365279565,78.32286128781656,2.5,2.422670394237303,-3606.6975829371836,29.35098981634016,24.35098981634016,66.22479041309386,917.151660409002,469.328049156031
19,19,29,8.658790020498408,0.93,0.03884934737846002,0.06215895580553603,0.06683758688767315,0.625,0.5683553424732394,17.06486915775901,260.32545661257046,247.30006857308058,0.6138237698710985,3.125638040766453,277.84889648989105,-274.7232584491246,29.17294146578817,25.226029365279565,80.26174321266356,2.5,2.424482015996931,-3709.8502519145936,24.741645529283435,19.741645529283435,88.89349722073334,917.151660409002,469.328049156031
20,20,29,8.658790020498408,0.93,0.03875572541519494,0.0620091606643119,0.06667651684334612,0.625,0.566985678718629,17.023745003526834,259.3135147159932,246.33878482961404,0.6123445330161194,3.125638040766453,206.99472415695163,-203.86908611618517,29.102638404384397,25.165237857727252,60.389230625158014,2.5,2.4006189145920356,-2725.9418263881034,24.741645529283435,19.741645529283435,66.22479041309386,904.8189549810974,469.328049156031
21,21,29,8.658790020498408,0.0016854413079334825,7.839714579143852e-05,0.00012543543326630163,0.07442290198766865,0.625,4.89085025977634e-05,0.0014684777904978462,0.012912178316416157,0.012266261368483673,5.282118280558448e-05,3.125638040766453,206.99472415695163,-203.86908611618517,0.002510409908799407,0.0021707675296482724,0.005139161989549237,2.5,0.005128619267469937,-5.823630601191047,24.741645529283435,19.741645529283435,66.22479041309386,917.151660409002,20.01356270257195
22,22,29,10.635390055263025,0.93,0.03884934737846002,0.06215895580553603,0.06683758688767315,0.625,0.6980976259830312,20.96038122014051,319.75169346233565,303.7529127905347,0.7539454360616737,3.125638040766453,206.99472415695163,-203.86908611618517,29.17294146578817,24.325041285350455,57.58807696379367,2.5,2.39598602059164,-3341.7492103197637,24.741645529283435,19.741645529283435,66.22479041309386,917.151660409002,469.328049156031
23,23,29,8.658790020498408,0.93,0.03884934737846002,0.06215895580553603,0.06683758688767315,0.625,0.5683553424732394,17.06486915775901,260.32545661257046,247.30006857308058,0.6138237698710985,3.125638040766453,206.99472415695163,-203.86908611618517,29.17294146578817,25.226029365279565,59.72111222904793,2.5,2.399551779515086,-2724.730077150029,24.741645529283435,19.741645529283435,66.22479041309386,917.151660409002,469.328049156031
24,24,29,3.090948487917432,0.93,0.03359010520802946,0.05374416833284713,0.05778942831488938,0.625,0.273215447204212,8.203293802306463,151.5784772909597,143.9912101200452,0.29507268298054895,3.1674757010044563,196.81686473818266,-193.6493890371782,39.28538056230465,37.388051067830965,104.8821856504731,2.5,2.4417966773339512,-940.1608723577677,24.964240250012708,19.964240250012708,62.13681913195701,735.7564730921852,730.9701085893329
25,25,29,3.090948487917432,0.93,0.03359010520802946,0.05374416833284713,0.05778942831488938,0.625,0.273215447204212,8.203293802306463,151.5784772909597,143.9912101200452,0.29507268298054895,4.440581740918275,275.92362447610964,-271.48304273519136,39.28538056230465,37.388051067830965,147.07449411095092,2.5,2.4582148010117026,-1326.9027081933198,30.748958319941835,25.748958319941835,62.13681913195701,735.7564730921852,730.9701085893329
26,26,29,3.090948487917432,0.93,0.03359010520802946,0.05374416833284713,0.05778942831488938,0.625,0.273215447204212,8.203293802306463,151.5784772909597,143.9912101200452,0.29507268298054895,3.1674757010044563,128.83129812039044,-125.66382241938598,39.28538056230465,37.388051067830965,68.46921861944892,2.5,2.4119336506505205,-602.6319675568609,24.964240250012708,19.964240250012708,40.67317646021279,735.7564730921852,730.9701085893329
27,27,29,3.090948487917432,0.93,0.036161396384393876,0.0578582342150302,0.06221315506992495,0.625,0.2941298344706954,8.83124827998263,166.04405427226098,157.73221822776242,0.3176602212283511,3.1674757010044563,196.81686473818266,-193.6493890371782,42.292639746947685,40.25007145201231,73.77839593868194,2.5,2.418063300583507,-931.0228501805668,24.964240250012708,19.964240250012708,62.13681913195701,1126.005314921842,730.9701085893329
28,28,29,3.090948487917432,0.93,0.03054318615119284,0.04886909784190854,0.052547417034310255,0.625,0.3127655805800909,9.390786556917229,184.87527262764533,175.61874894683274,0.3377868270264982,3.1674757010044563,196.81686473818266,-193.6493890371782,44.97225535968748,42.800272161214636,120.064725560559,2.5,2.449006535351708,-942.9368718774947,24.964240250012708,19.964240250012708,62.13681913195701,735.7564730921852,920.2595780501752
