,Simulation,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
148,148,29,0.7951864066449841,0.059906576489747204,0.625,0.5394135256397947,16.195891107334834,142.408850392125,135.28501057596412,6.147395260575361,492.75215135549377,-486.6047560949184,14.983709045549853,11.23778178416239,124.81647512329253,2.5,2.4509097310937364,-12274.630400229893,36.5625,36.5625,80.15625,465.625
149,149,29,0.7951864066449841,0.059906576489747204,0.625,0.5394135256397947,16.195891107334834,142.408850392125,135.28501057596412,3.747599110292901,279.3132461890178,-275.56564707872485,14.983709045549853,11.23778178416239,70.76950951730883,2.5,2.41469848725378,-6848.457177241805,27.8125,27.8125,74.53125,465.625
150,150,29,0.7527604675129421,0.05809001598482403,0.625,0.49514988498976864,14.866875296817803,130.7229473149566,124.18368143082101,3.747599110292901,300.3934911844154,-296.64589207412246,13.75416347193802,10.315622603953514,79.48709807264561,2.5,2.4237684934956216,-7400.042821861713,27.8125,27.8125,80.15625,409.375
151,151,29,0.7951864066449841,0.059906576489747204,0.625,0.5394135256397947,16.195891107334834,142.408850392125,135.28501057596412,3.747599110292901,300.3934911844154,-296.64589207412246,14.983709045549853,11.23778178416239,76.13192634734519,2.5,2.4205157460801416,-7390.111811442257,27.8125,27.8125,80.15625,465.625
152,152,29,0.6737595511822926,0.054550155508302334,0.625,0.4161781841554071,12.495749979266096,109.87387958719961,104.37756446349688,3.4825026524025304,311.79281559791406,-308.31031294551155,11.560505115427974,8.67037883657098,91.79008863038635,2.5,2.4337151964667276,-7722.582639975759,26.5625,26.5625,89.53125,309.375
153,153,29,0.6737595511822926,0.054550155508302334,0.625,0.4161781841554071,12.495749979266096,109.87387958719961,104.37756446349688,6.580930706400415,589.1989523074121,-582.6180216010117,11.560505115427974,8.67037883657098,173.35875665314853,2.5,2.464460114930034,-14777.823201707595,37.8125,37.8125,89.53125,309.375
154,154,29,0.6737595511822926,0.054550155508302334,0.625,0.4161781841554071,12.495749979266096,109.87387958719961,104.37756446349688,3.4825026524025304,226.90681344560238,-223.42431079319985,11.560505115427974,8.67037883657098,66.71574643732039,2.5,2.4097026280622456,-5541.133794967728,26.5625,26.5625,65.15625,309.375
155,155,29,0.7189235643331852,0.05659021811001947,0.625,0.460683300731845,13.832016104473645,121.62353395617501,115.5394558150098,3.4825026524025304,311.79281559791406,-308.31031294551155,12.79675835366236,9.59756876524677,85.9742272311404,2.5,2.4293579588587786,-7708.756401162667,26.5625,26.5625,89.53125,365.625
156,156,29,0.7189235643331852,0.05659021811001947,0.625,0.460683300731845,13.832016104473645,121.62353395617501,115.5394558150098,3.4825026524025304,226.90681344560238,-223.42431079319985,12.79675835366236,9.59756876524677,62.488606664211545,2.5,2.403829296844399,-5527.628014743543,26.5625,26.5625,65.15625,365.625
157,157,29,0.7189235643331852,0.05659021811001947,0.625,0.460683300731845,13.832016104473645,121.62353395617501,115.5394558150098,6.580930706400415,589.1989523074121,-582.6180216010117,12.79675835366236,9.59756876524677,162.3746676726902,2.5,2.4620924179061423,-14763.625606135927,37.8125,37.8125,89.53125,365.625
