,Simulation,Timestep,H,diurnal,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,DWCGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_NET,P_GROSS,DOP,DOC,g_S,g_A,g_C,DTR,DCO2C,DCO2P,DNC,DWC,T_LIGHT,T_DARK,RH,CO2,PPFD
418,418.0,707.5,6.1875,0.0,0.93,0.03525364737644604,0.05640583580231367,0.060651436346573835,0.625,0.0,0.0,0.0,0.0,0.0,2.047597897092473,0.0,-89.37444883637222,31.507947342698646,0.0,0.0,0.0,44.73450652933706,2.5,2.3676814799342054,-842.2555347137098,0.0,0.0,0.0,-842.2555347137098,17.8515625,13.8515625,44.6484375,671.015625,558.59375
419,419.0,707.5,19.6875,0.0,0.93,0.03525364737644604,0.05640583580231367,0.060651436346573835,0.625,0.0,0.0,0.0,0.0,0.0,2.047597897092473,0.0,-89.37444883637222,31.507947342698646,0.0,0.0,0.0,44.73450652933706,2.5,2.3676814799342054,-2679.903974089076,0.0,0.0,0.0,-2679.903974089076,17.8515625,13.8515625,44.6484375,671.015625,558.59375
420,420.0,707.5,18.1875,0.0,0.93,0.03647875711200769,0.0583660113792123,0.06275915202065839,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-157.1983506258345,38.62188409233814,0.0,0.0,0.0,66.9698605208061,2.5,2.410032927183895,-4432.3696803649555,0.0,0.0,0.0,-4432.3696803649555,15.1171875,11.1171875,92.3828125,958.984375,661.71875
421,421.0,707.5,18.1875,0.0,0.93,0.03647875711200769,0.0583660113792123,0.06275915202065839,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-525.5658969836119,38.62188409233814,0.0,0.0,0.0,224.73563315437067,2.5,2.472495510878991,-15202.944249304828,0.0,0.0,0.0,-15202.944249304828,35.3515625,31.3515625,92.3828125,958.984375,661.71875
422,422.0,707.5,18.1875,0.0,0.93,0.03647875711200769,0.0583660113792123,0.06275915202065839,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-130.9919059203222,38.62188409233814,0.0,0.0,0.0,55.84561303280561,2.5,2.3928796926602547,-3667.1640580146864,0.0,0.0,0.0,-3667.1640580146864,15.1171875,11.1171875,77.1484375,958.984375,661.71875
423,423.0,707.5,18.1875,0.0,0.93,0.03732290775459142,0.05971665240734627,0.0642114542014476,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-157.1983506258345,39.515628585173665,0.0,0.0,0.0,56.84112436102745,2.5,2.3946767512867564,-4404.127639484476,0.0,0.0,0.0,-4404.127639484476,15.1171875,11.1171875,92.3828125,1156.015625,661.71875
424,424.0,707.5,18.1875,0.0,0.0002240308178582086,1.051422243220547e-05,1.6822755891528755e-05,0.07509125776693834,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-157.1983506258345,0.00014457055844282522,0.0,0.0,0.0,0.00025068352727648915,2.5,0.00025065837787386876,-0.4609939481265948,0.0,0.0,0.0,-0.4609939481265948,15.1171875,11.1171875,92.3828125,958.984375,8.59375
425,425.0,707.5,7.6875,0.0,0.93,0.03647875711200769,0.0583660113792123,0.06275915202065839,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-157.1983506258345,38.62188409233814,0.0,0.0,0.0,66.9698605208061,2.5,2.410032927183895,-1873.4758442779712,0.0,0.0,0.0,-1873.4758442779712,15.1171875,11.1171875,92.3828125,958.984375,661.71875
426,426.0,707.5,7.6875,0.0,0.0002667188487514009,1.2771999791844342e-05,2.043519966695095e-05,0.07661700611942077,0.625,0.0,0.0,0.0,0.0,0.0,1.720217908874653,0.0,-130.9919059203222,0.0001756149971378597,0.0,0.0,0.0,0.0002106517320805245,2.5,0.00021063397330119626,-0.13644260987745965,0.0,0.0,0.0,-0.13644260987745965,15.1171875,11.1171875,77.1484375,1156.015625,8.59375
427,427.0,707.5,7.6875,0.0,0.0002667188487514009,1.2771999791844342e-05,2.043519966695095e-05,0.07661700611942077,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-525.5658969836119,0.0001756149971378597,0.0,0.0,0.0,0.0008477111775346049,2.5,0.0008474236575188257,-2.2024441161874617,0.0,0.0,0.0,-2.2024441161874617,35.3515625,31.3515625,92.3828125,1156.015625,8.59375
428,428.0,707.5,7.6875,0.0,0.0002240308178582086,1.051422243220547e-05,1.6822755891528755e-05,0.07509125776693834,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-437.9491149781367,0.00014457055844282522,0.0,0.0,0.0,0.0007020186789811312,2.5,0.0007018214844202991,-1.519943514582626,0.0,0.0,0.0,-1.519943514582626,35.3515625,31.3515625,77.1484375,958.984375,8.59375
429,429.0,707.5,7.6875,0.0,0.93,0.03732290775459142,0.05971665240734627,0.0642114542014476,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-437.9491149781367,39.515628585173665,0.0,0.0,0.0,159.1789116311557,2.5,2.4613431341357717,-5330.561427571959,0.0,0.0,0.0,-5330.561427571959,35.3515625,31.3515625,77.1484375,1156.015625,661.71875
430,430.0,707.5,18.1875,0.0,0.0002667188487514009,1.2771999791844342e-05,2.043519966695095e-05,0.07661700611942077,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-437.9491149781367,0.0001756149971378597,0.0,0.0,0.0,0.0007074214712353456,2.5,0.0007072212301774656,-3.623630918953765,0.0,0.0,0.0,-3.623630918953765,35.3515625,31.3515625,77.1484375,1156.015625,8.59375
431,431.0,707.5,7.6875,0.0,0.0002667188487514009,1.2771999791844342e-05,2.043519966695095e-05,0.07661700611942077,0.625,0.0,0.0,0.0,0.0,0.0,5.75125543420555,0.0,-437.9491149781367,0.0001756149971378597,0.0,0.0,0.0,0.0007074214712353456,2.5,0.0007072212301774656,-1.5316378111041689,0.0,0.0,0.0,-1.5316378111041689,35.3515625,31.3515625,77.1484375,1156.015625,8.59375
432,432.0,707.5,21.1875,0.0,0.93,0.034880588164647765,0.055808941063436424,0.06000961404670583,0.625,0.0,0.0,0.0,0.0,0.0,2.2692014786302277,0.0,-115.17970317703585,44.60355211554333,0.0,0.0,0.0,50.684330843090486,2.5,2.3824841847039617,-3740.0525546947974,0.0,0.0,0.0,-3740.0525546947974,19.4921875,15.4921875,51.7578125,1080.234375,799.21875
