,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2
10,10,0.05043732510015593,0.05674362027335708,0.625,0.024305733582781135,0.7297796508230036,2.465196039722617,2.339743860144175,2.9897039819500972,2.018050187816316,0.9716537941337813,0.9002123549178196,0.7314225383707285,0.021758375482243478,2.5,0.021570638660100172,0.16178586546610146,24,23,0.675,370
11,11,0.0640079265401244,0.05674362027335708,0.625,0.030845402815893572,0.9261332195472044,3.3913292592698214,3.219570418714019,2.9897039819500972,2.018050187816316,0.9716537941337813,1.1424223265145768,0.9282181402930936,0.02761265584037839,2.5,0.027311004097656886,0.20484022306028205,24,23,0.675,370
12,12,0.0795619028090215,0.05674362027335708,0.625,0.038340859852800245,1.1511843170803273,4.5425135763501485,4.31319551994033,2.9897039819500972,2.018050187816316,0.9716537941337813,1.4200318464000088,1.1537758752000071,0.03432255283092124,2.5,0.03385771948462304,0.25394243238891595,24,23,0.675,370
13,13,0.097187503611918,0.05674362027335708,0.625,0.04683463220295866,1.4062098318938336,5.948723408243982,5.649094860239472,2.9897039819500972,2.018050187816316,0.9716537941337813,1.734616007516987,1.409375506107552,0.04192613687523782,2.5,0.041234613652835296,0.30927121640232885,24,23,0.675,370
14,14,0.1169693658207529,0.05674362027335708,0.625,0.05636750635249877,1.6924343782337754,7.641157786477757,7.256907519561559,2.9897039819500972,2.018050187816316,0.9716537941337813,2.0876854204629174,1.6962444041261204,0.050459919839007675,2.5,0.049461588718274045,0.3709758465759384,24,23,0.675,370
15,15,0.13898892429703405,0.05674362027335708,0.625,0.06697872573957339,2.0110362403306907,9.652194026808449,9.167391947875714,2.9897039819500972,2.018050187816316,0.9716537941337813,2.4806935459101256,2.015563506051977,0.05995903225880294,2.5,0.05855467949217291,0.43917658851030905,24,23,0.675,370
16,16,0.16332475023654194,0.05674362027335708,0.625,0.07870615380258113,2.3631522679224983,12.015346294730946,11.412386602402087,2.9897039819500972,2.018050187816316,0.9716537941337813,2.91504273342893,2.3684722209110056,0.07045736930207123,2.5,0.0685261017586938,0.5139650640273128,24,23,0.675,370
17,17,0.19005283377864643,0.05674362027335708,0.625,0.0915864101695212,2.7498819653398736,14.76522826007082,14.024774469474966,2.9897039819500972,2.018050187816316,0.9716537941337813,3.392089265537821,2.7560725282494793,0.08198771268318927,2.5,0.07938429788070916,0.5954045932263414,24,23,0.675,370
18,18,0.21924682295288664,0.05674362027335708,0.625,0.10565498580628677,3.17229094883376,17.93751920890458,17.038450870867038,2.9897039819500972,2.018050187816316,0.9716537941337813,3.913147622455065,3.1794324432447403,0.09458183374365975,2.5,0.09113398594099256,0.6835305630570762,24,23,0.675,370
19,19,0.25097822786611196,0.05674362027335708,0.625,0.1209463414143942,3.6314139009671855,21.568933109871764,20.488294076785863,2.9897039819500972,2.018050187816316,0.9716537941337813,4.479494126459044,3.639588977747973,0.10827058153728387,2.5,0.10377621699190281,0.7783508567082442,24,23,0.675,370
