,Timestep,A,CQY,CUE_24,DCG,CGR,TCB,TEB,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_C,DTR
14,14,0.36657275083083,0.054114549544529614,0.625,0.3999122928160307,12.00736659180132,54.21195876662942,51.48580649910381,2.814606869432776,1.899859636867124,0.914747232565652,11.108674800445298,8.331506100333973,0.19641231037342496,0.1821052270250019,1.7144636212571047
15,15,0.4355803073486631,0.054114549544529614,0.625,0.4751960395924358,14.267761088762883,68.4797198553923,65.04017953342854,2.814606869432776,1.899859636867124,0.914747232565652,13.199889988678773,9.899917491509079,0.2333870543449083,0.2134595738773287,2.0096549670783377
16,16,0.5118468630899008,0.054114549544529614,0.625,0.5583989866269126,16.76592957347305,85.24564942886535,80.96781262822793,2.814606869432776,1.899859636867124,0.914747232565652,15.511082961858682,11.63331222139401,0.2742512221899238,0.24713985885301046,2.326744291134098
17,17,0.5956105651474108,0.054114549544529614,0.625,0.6497809403282033,19.509672733354304,104.75532216221966,99.50200172491452,2.814606869432776,1.899859636867124,0.914747232565652,18.049470564672315,13.537102923504236,0.31913241482974264,0.28300587545212574,2.6644115931832824
18,18,0.6871022206269005,0.054114549544529614,0.625,0.7495936995510577,22.506550829020505,127.26187299124015,120.883225012484,2.814606869432776,1.899859636867124,0.914747232565652,20.822047209751606,15.616535407313705,0.3681543003678442,0.3208982692463826,3.021156601242181
19,19,0.7865459365532819,0.054114549544529614,0.625,0.8580817537016461,25.76390465489192,153.02577764613207,145.35893443463132,2.814606869432776,1.899859636867124,0.914747232565652,23.83560426949017,17.876703202117625,0.4214369569563393,0.3606418375320752,3.3953298367826004
20,20,0.8941596718273797,0.054114549544529614,0.625,0.9754828848943531,29.288873618952948,182.31465126508502,173.18336437263662,2.814606869432776,1.899859636867124,0.914747232565652,27.09674680262092,20.322560101965692,0.4790971685383346,0.4020489610056921,3.7851649228818625
21,21,0.93,0.054114549544529614,0.625,1.0145828665004768,30.462850566676813,212.77750183176184,202.1230724109796,2.814606869432776,1.899859636867124,0.914747232565652,28.182857402791026,21.13714305209327,0.49830067355874674,0.4154859100299163,3.9116695853732675
22,22,0.93,0.054114549544529614,0.625,1.0145828665004768,30.462850566676813,243.24035239843866,231.0627804493226,2.814606869432776,1.899859636867124,0.914747232565652,28.182857402791026,21.13714305209327,0.49830067355874674,0.4154859100299163,3.9116695853732675
23,23,0.93,0.054114549544529614,0.625,1.0145828665004768,30.462850566676813,273.70320296511545,260.0024884876656,2.814606869432776,1.899859636867124,0.914747232565652,28.182857402791026,21.13714305209327,0.49830067355874674,0.4154859100299163,3.9116695853732675
24,24,0.93,0.054114549544529614,0.625,1.0145828665004768,30.462850566676813,304.1660535317923,288.94219652600856,2.814606869432776,1.899859636867124,0.914747232565652,28.182857402791026,21.13714305209327,0.49830067355874674,0.4154859100299163,3.9116695853732675
