,Timestep,Photoperiod,PPFD,alpha,beta,DCG,DOP,CGR,TEB,P_GROSS,P_NET,T_LIGHT,VP_SAT,VP_AIR,RH,VPD,g_S,g_C,DTR,g_A
10,11,12,314.54,0.01373868001802106,0.030117712833578333,0.1866829426359125,0.2016175780467855,5.605155352643273,52.06052857500006,9.47322539467373,6.897294903771037,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.20518089675266227,0.18961846229855123,1.4221918745534254,2.5
11,12,12,314.54,0.01442068056328405,0.03312948411693616,0.19595005334101578,0.21162605760829706,5.883400351563998,57.94392892656406,10.420547934141101,7.478214399258233,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.22246210405032313,0.20428393082070523,1.5321870190973532,2.5
12,13,12,314.54,0.015102681108547036,0.036141255400293996,0.20521716404611903,0.22163453716980858,6.161645350484723,64.10557427704879,11.367870473608475,8.059133894745429,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.23974331134798393,0.21876439149880392,1.6407945527021632,2.5
13,14,12,314.54,0.015784681653810022,0.03915302668365183,0.21448427475122228,0.23164301673132007,6.439890349405449,70.54546462645423,12.315193013075847,8.640053390232627,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.25702451864564485,0.23306332325610313,1.748040568272137,2.5
14,15,12,314.54,0.01646668219907301,0.042164797967009664,0.22375138545632559,0.24165149629283164,6.718135348326175,77.2635999747804,13.26251555254322,9.220972885719823,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2743057259433057,0.24718411833472106,1.853950508578608,2.5
15,16,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,84.2599803220273,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
16,17,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,91.2563606692742,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
17,18,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,98.2527410165211,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
18,19,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,105.249121363768,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
19,20,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,112.2455017110149,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
20,21,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,119.2418820582618,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
21,22,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,126.23826240550869,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
22,23,12,314.54,0.017148682744336,0.0451765692503675,0.23301849616142886,0.2516599758543432,6.996380347246901,133.2346427527556,14.209838092010594,9.80189238120702,24,2.9897039819500972,2.018050187816316,0.675,0.9716537941337815,0.2915869332409666,0.26113008497861917,1.958549186383077,2.5
