,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
43,43,29,10.602962417384362,0.93,0.04025375863927114,0.06440601382283381,0.06925377830412238,0.625,0.6254296971358153,18.778526656502855,260.61763190617916,247.5787790530081,0.6754640729066805,2.2438915957457635,115.49802375406276,-113.25413215831699,26.21614067280232,21.872878887136938,25.950337880673224,2.5,2.280318953461508,-1761.414841547205,19.312095090545096,14.312095090545096,51.472194099321754,1017.2630978077319,407.0449188940169
44,44,29,10.602962417384362,0.93,0.0364609746335275,0.058337559413644005,0.06272855850929462,0.625,0.5665005478538502,17.00917894931185,213.95095532202794,203.24748983032924,0.6118205916821582,2.2438915957457635,106.89569549040613,-104.65180389466036,23.746007140001616,19.811975557683212,35.31223618589655,2.5,2.3347095905866797,-1666.4472994065595,19.312095090545096,14.312095090545096,47.6385292823734,626.2616498503165,407.0449188940169
45,45,29,10.602962417384362,0.93,0.04079081775792478,0.06526530841267965,0.07017775098137596,0.625,0.561917884614488,16.87158448555,209.0776368315428,198.61805133376527,0.606871315383647,2.2438915957457635,106.89569549040613,-104.65180389466036,23.55391561526369,19.651708083218637,21.563550429955995,2.5,2.240271078526319,-1599.0398565205194,19.312095090545096,14.312095090545096,47.6385292823734,1017.2630978077319,360.89487950213487
46,46,29,12.400534625822656,0.93,0.04025375863927114,0.06440601382283381,0.06925377830412238,0.625,0.7314618603791765,21.962142357884773,304.801416937374,289.55202342621226,0.7899788092095107,2.2438915957457635,106.89569549040613,-104.65180389466036,26.21614067280232,21.13654442016915,23.192841028843187,2.5,2.2567415766522805,-1883.8821622734658,19.312095090545096,14.312095090545096,47.6385292823734,1017.2630978077319,407.0449188940169
47,47,29,10.602962417384362,0.93,0.04025375863927114,0.06440601382283381,0.06925377830412238,0.625,0.6254296971358153,18.778526656502855,260.61763190617916,247.5787790530081,0.6754640729066805,2.2438915957457635,106.89569549040613,-104.65180389466036,26.21614067280232,21.872878887136938,24.000810765852126,2.5,2.264158158962687,-1616.0897546510573,19.312095090545096,14.312095090545096,47.6385292823734,1017.2630978077319,407.0449188940169
48,48,29,11.875142446649006,0.8891881514205068,0.038789111463496534,0.062062578341594454,0.06979690208697392,0.625,0.4768774062220702,14.318244121817658,125.89888827410101,119.60094042445648,0.5150275987198358,4.674337541225468,455.28490918356755,-450.6105716423421,17.847829180043526,14.536180525723594,79.64274930804524,2.5,2.4239129435933324,-8343.379496313442,31.6496057779018,26.6496057779018,97.40094829869855,873.1295657347431,287.577952076185
49,49,29,11.875142446649006,0.8891881514205068,0.038789111463496534,0.062062578341594454,0.06979690208697392,0.625,0.4768774062220702,14.318244121817658,125.89888827410101,119.60094042445648,0.5150275987198358,2.339973118950224,227.91560077921517,-225.57562766026496,17.847829180043526,14.536180525723594,39.82162747309843,2.5,2.35232136916349,-4053.334376030558,19.98658671841387,14.986586718413871,97.40094829869855,873.1295657347431,287.577952076185
50,50,29,11.875142446649006,0.8891881514205068,0.038789111463496534,0.062062578341594454,0.06979690208697392,0.625,0.4768774062220702,14.318244121817658,125.89888827410101,119.60094042445648,0.5150275987198358,4.674337541225468,396.12273673012874,-391.4483991889033,17.847829180043526,14.536180525723594,69.26133944999539,2.5,2.412905750535006,-7215.03568558873,31.6496057779018,26.6496057779018,84.74414464862917,873.1295657347431,287.577952076185
51,51,29,11.875142446649006,0.745693008559166,0.030083430558693017,0.048133488893908824,0.06454866592743405,0.625,0.3698488517477915,11.104711773727438,97.6426197948582,92.7581594489348,0.39943675988761485,4.674337541225468,455.28490918356755,-450.6105716423421,13.842130162392095,11.273735358587988,87.8584728989756,2.5,2.4308310576808028,-8367.192418878634,31.6496057779018,26.6496057779018,97.40094829869855,613.8451316240387,287.577952076185
52,52,29,11.875142446649006,0.93,0.03776116187044854,0.06041785899271767,0.06496543977711577,0.625,0.8505484121627434,25.537716075186367,415.59465688503815,394.79846307266115,0.9185922851357629,4.674337541225468,455.28490918356755,-450.6105716423421,31.833009011479014,25.926422815904406,142.0491159371229,2.5,2.4567621015218197,-8456.449972485496,31.6496057779018,26.6496057779018,97.40094829869855,873.1295657347431,526.8807856186353
