,Simulation,Timestep,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
446,446,29,15.0625,0.03192615916002545,0.0012915148166900469,0.002066423706704075,0.06472509569179345,0.625,0.00542641604135552,0.16292814164169947,1.4326108513542528,1.3609461325124108,0.005860529324663961,4.577471376030778,300.1927185298059,-295.61524715377516,0.16011554939914857,0.12243210466751302,0.7570142845224277,2.5,0.5810646027251212,-1664.3056434310479,31.28125,27.28125,65.58046875,509.375,77.484375
447,447,29,15.0625,0.041349571339885996,0.001851571577076563,0.0029625145233225006,0.07164559213857787,0.625,0.007779545056491204,0.2335808403211484,2.0538529632800873,1.9511113185293074,0.008401908661010501,4.577471376030778,342.7846592239673,-338.20718784793655,0.22954858626806687,0.1755239678202113,0.7988804622961099,2.5,0.6054178617767098,-1983.9005550361705,31.28125,27.28125,74.88515625,790.625,77.484375
448,448,29,15.0625,0.008622486643579261,0.00035099307267719983,0.0005615889162835198,0.06513073774393228,0.625,0.0008644963493239502,0.025956502888451603,0.22823293340557316,0.2168158420248275,0.0009336560572698662,4.577471376030778,342.7846592239673,-338.20718784793655,0.0255084215568155,0.01950497468651029,0.1377918972646329,2.5,0.1305939803359032,-427.9448731698256,31.28125,27.28125,74.88515625,509.375,45.421875
449,449,29,13.5625,0.03192615916002545,0.0012915148166900469,0.002066423706704075,0.06472509569179345,0.625,0.004886026062133393,0.1467029325155551,1.2899442105554892,1.2254162271999716,0.0052769081471040645,4.577471376030778,342.7846592239673,-338.20718784793655,0.16011554939914857,0.12618481285655556,0.8914261642960507,2.5,0.6571174788358408,-1938.877538946229,31.28125,27.28125,74.88515625,509.375,77.484375
450,450,29,13.5625,0.01127963556896819,0.0005080082858048265,0.0008128132572877224,0.07206024098188793,0.625,0.0011266216834328257,0.03382681604507059,0.29743580970501515,0.2825569236098444,0.0012167514181074517,4.577471376030778,300.1927185298059,-295.61524715377516,0.036919502170865766,0.02909574048036003,0.11590582347239792,2.5,0.1107702563605124,-285.6765010503727,31.28125,27.28125,65.58046875,790.625,45.421875
451,451,29,13.5625,0.01127963556896819,0.0005080082858048265,0.0008128132572877224,0.07206024098188793,0.625,0.0011266216834328257,0.03382681604507059,0.29743580970501515,0.2825569236098444,0.0012167514181074517,2.0465897504579336,153.25919324269086,-151.21260349223292,0.036919502170865766,0.02909574048036003,0.05904557768903812,2.5,0.057683202483598976,-76.09600928898516,17.84375,13.84375,74.88515625,790.625,45.421875
452,452,29,13.5625,0.008622486643579261,0.00035099307267719983,0.0005615889162835198,0.06513073774393228,0.625,0.000778405426569698,0.02337162293275518,0.2055043425270099,0.19522422290202324,0.0008406778606952739,2.0465897504579336,134.2163151739768,-132.16972542351886,0.0255084215568155,0.02010282831674815,0.05539980838643044,2.5,0.05419876784507141,-62.495094362378694,17.84375,13.84375,65.58046875,509.375,45.421875
453,453,29,13.5625,0.041349571339885996,0.001851571577076563,0.0029625145233225006,0.07164559213857787,0.625,0.007004818577836479,0.21031967779954028,1.8493198880986679,1.756809776435103,0.007565204064063398,2.0465897504579336,134.2163151739768,-132.16972542351886,0.22954858626806687,0.1809040128108691,0.3211932298883232,2.5,0.2846253373267148,-328.19357379126177,17.84375,13.84375,65.58046875,790.625,77.484375
454,454,29,15.0625,0.01127963556896819,0.0005080082858048265,0.0008128132572877224,0.07206024098188793,0.625,0.0012512250032594972,0.0375680307228664,0.33033193612400297,0.31380745893996537,0.001351323003520257,2.0465897504579336,134.2163151739768,-132.16972542351886,0.036919502170865766,0.028230439648230365,0.05012285770168223,2.5,0.04913768914143204,-62.92577194696873,17.84375,13.84375,65.58046875,790.625,45.421875
455,455,29,13.5625,0.01127963556896819,0.0005080082858048265,0.0008128132572877224,0.07206024098188793,0.625,0.0011266216834328257,0.03382681604507059,0.29743580970501515,0.2825569236098444,0.0012167514181074517,2.0465897504579336,134.2163151739768,-132.16972542351886,0.036919502170865766,0.02909574048036003,0.051659190504798926,2.5,0.050613332980588115,-58.360828970468646,17.84375,13.84375,65.58046875,790.625,45.421875
456,456,29,13.0625,0.93,0.036990975208160345,0.05918556033305655,0.06364038745489951,0.625,0.580966023763671,17.44350486350422,166.48777320611595,158.15937038352388,0.6274433056647647,3.4251626519220917,154.5096224098699,-151.08445975794783,19.767052376860686,15.732566100724082,41.7623335799829,2.5,2.3587964191109325,-2994.479436173223,26.28125,22.28125,45.110156249999996,609.375,333.984375
457,457,29,13.0625,0.93,0.036990975208160345,0.05918556033305655,0.06364038745489951,0.625,0.580966023763671,17.44350486350422,166.48777320611595,158.15937038352388,0.6274433056647647,2.788073872601548,125.77044802959841,-122.98237415699687,19.767052376860686,15.732566100724082,33.96290067865239,2.5,2.328592901725475,-2406.287534647521,22.84375,18.84375,45.110156249999996,609.375,333.984375
458,458,29,13.0625,0.93,0.036990975208160345,0.05918556033305655,0.06364038745489951,0.625,0.580966023763671,17.44350486350422,166.48777320611595,158.15937038352388,0.6274433056647647,3.4251626519220917,190.62903293771708,-187.203870285795,19.767052376860686,15.732566100724082,51.59103624066912,2.5,2.3844540531227456,-3750.721869127322,26.28125,22.28125,55.65546875,609.375,333.984375
459,459,29,13.0625,0.93,0.038112536144221346,0.06098005783075416,0.0655699546567249,0.625,0.5985808282873505,17.972389369327697,179.93848292964418,170.93716660426014,0.6464672945503386,3.4251626519220917,154.5096224098699,-151.08445975794783,20.366386502068284,16.20957519451724,37.96637770693003,2.5,2.3455507916902167,-2977.664183017338,26.28125,22.28125,45.110156249999996,690.625,333.984375
460,460,29,13.0625,0.12359680610795078,0.005163146815527337,0.008261034904843739,0.06683857912661968,0.625,0.031787435735038276,0.9544177579445241,8.392099872859387,7.972294677811056,0.03433043059384134,3.4251626519220917,154.5096224098699,-151.08445975794783,1.0815501791825888,0.8608040976892675,2.2850174373690275,2.5,1.1938396606060286,-1515.5730629437785,26.28125,22.28125,45.110156249999996,609.375,130.921875
