,Timestep,Day,diurnal,A,CQY,CUE_24,HCG,HCGR,HWCGR,HOP,HOC,HTR,HCO2C,HCO2P,HNC,HWC
411,411,17,0,1711.7669779598411,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.469585569256,0.0,0.0,0.0,1465.469585569256
412,412,17,0,1722.1981939369418,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.487694597975,0.0,0.0,0.0,1465.487694597975
413,413,17,0,1732.6674568696624,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.5056508809357,0.0,0.0,0.0,1465.5056508809357
414,414,17,0,1743.1748129035298,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.5234560690592,0.0,0.0,0.0,1465.5234560690592
415,415,17,0,1753.7203081282407,0.054114549544529614,0.625,0.0,0.0,0.0,0.0,0.0,1465.5411117915332,0.0,0.0,0.0,1465.5411117915332
416,416,17,1,1764.303988577861,0.054114549544529614,0.625,120.29788965789992,3612.154658285346,72243.09316570686,6651.7426568192395,11825.320278789759,1465.5586196561478,9148.567894002736,16264.120700449306,6.143000438277737,75644.48396940077
417,417,17,1,1774.9259002310262,0.054114549544529614,0.625,121.02213761306005,3633.901470572951,72678.02941145895,6691.789169947215,11896.514079906157,1465.575981249627,9203.646429534136,16362.03809694957,6.179984092094297,76091.09216607295
418,418,17,1,1785.5860890111421,0.054114549544529614,0.625,121.74899546856855,3655.726649685841,73114.53299371676,6731.979994712963,11967.964435045267,1465.5931981379545,9258.923446107901,16460.308348636267,6.2171010202270525,76539.30955303054
419,419,17,1,1796.2846007865858,0.054114549544529614,0.625,122.47846635193002,3677.630289532815,73552.60579065623,6772.315304048496,12039.671651641767,1465.6102718666916,9314.399181568504,16558.931878344007,6.2543513823817305,76989.13806032279
420,420,17,1,1807.021481370896,0.054114549544529614,0.625,123.21055338691004,3699.612483910401,73992.24967820795,6812.795270679075,12111.636036762799,1465.6272039612918,9370.07387347607,16657.909108401902,6.291735338073129,77440.57961567328
421,421,17,1,1817.7967765229773,0.054114549544529614,0.625,123.94525969354898,3721.6733265032717,74433.46653006537,6853.420067123984,12183.857897109303,1465.643995927409,9425.947759107421,16757.24046063541,6.329253046625817,77893.63614448882
422,422,17,1,1828.6105319472908,0.054114549544529614,0.625,124.68258838817498,3743.812910884633,74876.2582176926,6894.189865697242,12256.337539017317,1465.6606492511994,9482.021075457067,16856.926356368116,6.366904667174795,78348.30956986759
