,Timestep,Day,Simulation,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD
134,30,,134.0,11.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.29932255379255834,8.987159677621564,0.0,231.6287411935874,0.32326835809596305,2.511530807054552,104.4836058403554,-101.97207503330084,19.80004324176263,14.137842219648759,13.003106590704725,2.5,2.0968549939695738,-1536.7707591635888,21.1328125,17.1328125,41.6015625,1186.328125,438.28125
135,30,,135.0,11.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.29932255379255834,8.987159677621564,0.0,231.6287411935874,0.32326835809596305,2.511530807054552,244.77614701566827,-242.26461620861372,19.80004324176263,14.137842219648759,43.368571853771265,2.5,2.3637411249706015,-4115.753277380983,21.1328125,17.1328125,97.4609375,837.734375,438.28125
136,30,,136.0,11.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.041083487775449186,1.2335317204578617,0.0,39.15139585010021,0.04437016679748512,2.511530807054552,244.77614701566827,-242.26461620861372,2.7176529939674197,1.9404881477949276,4.2034365336224795,2.5,1.5676423997375337,-2729.5837417734942,21.1328125,17.1328125,97.4609375,1186.328125,60.15625
137,30,,137.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.03551284536521879,1.0662731820906939,0.0,34.99934217551035,0.038353872994436294,2.511530807054552,244.77614701566827,-242.26461620861372,19.80004324176263,19.128256679816914,41.43514766829065,2.5,2.3577448732575714,-487.0709847269805,21.1328125,17.1328125,97.4609375,1186.328125,438.28125
138,30,,138.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.004874312108951598,0.14635122107127174,0.0,12.163046965266137,0.005264257077667726,2.511530807054552,104.4836058403554,-101.97207503330084,2.7176529939674197,2.6254469952689883,3.419524637326942,2.5,1.444171976143292,-125.5757069731249,21.1328125,17.1328125,41.6015625,837.734375,60.15625
139,30,,139.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.004874312108951598,0.14635122107127174,0.0,12.163046965266137,0.005264257077667726,2.1192588961392875,206.5449588229501,-204.4256999268108,2.7176529939674197,2.6254469952689883,6.789079684010875,2.5,1.8271669301364684,-318.50714659252714,18.3984375,14.3984375,97.4609375,837.734375,60.15625
140,30,,140.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.004874312108951598,0.14635122107127174,0.0,12.163046965266137,0.005264257077667726,2.1192588961392875,88.16448142141958,-86.0452225252803,2.7176529939674197,2.6254469952689883,2.0328236236434236,2.5,1.1211684991668984,-82.26272863349678,18.3984375,14.3984375,41.6015625,1186.328125,60.15625
141,30,,141.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.03551284536521879,1.0662731820906939,0.0,34.99934217551035,0.038353872994436294,2.1192588961392875,88.16448142141958,-86.0452225252803,19.80004324176263,19.128256679816914,20.973471749327807,2.5,2.2337419847075255,-163.89482121713615,18.3984375,14.3984375,41.6015625,837.734375,438.28125
142,30,,142.0,11.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.041083487775449186,1.2335317204578617,0.0,39.15139585010021,0.04437016679748512,2.1192588961392875,88.16448142141958,-86.0452225252803,2.7176529939674197,1.9404881477949276,2.1276781271251695,2.5,1.1494307018965777,-710.8353030177168,18.3984375,14.3984375,41.6015625,837.734375,60.15625
143,30,,143.0,1.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.004874312108951598,0.14635122107127174,0.0,12.163046965266137,0.005264257077667726,2.1192588961392875,88.16448142141958,-86.0452225252803,2.7176529939674197,2.6254469952689883,2.878711808731268,2.5,1.3380117354764447,-98.17301894025826,18.3984375,14.3984375,41.6015625,837.734375,60.15625
144,30,,144.0,8.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14971101477494195,4.495073218617631,0.0,120.11644250460249,0.1616878959569373,1.9106200468833021,108.59188157090642,-106.68126152402313,13.588264969837098,10.756223581242425,14.818427881733722,2.5,2.139112739176974,-1195.3571785014956,16.7578125,12.7578125,56.8359375,822.578125,300.78125
145,30,,145.0,8.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14971101477494195,4.495073218617631,0.0,120.11644250460249,0.1616878959569373,0.8895650304040397,50.5592624702296,-49.66969743982556,13.588264969837098,10.756223581242425,6.70304859946133,2.5,1.8208772144954422,-473.74872388567576,5.2734375,1.2734375,56.8359375,822.578125,300.78125
146,30,,146.0,8.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14971101477494195,4.495073218617631,0.0,120.11644250460249,0.1616878959569373,1.9106200468833021,157.10371869880277,-155.19309865191946,13.588264969837098,10.756223581242425,21.504499085908176,2.5,2.239632142389963,-1820.6437451207898,16.7578125,12.7578125,82.2265625,822.578125,300.78125
147,30,,147.0,8.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.14971101477494195,4.495073218617631,0.0,120.11644250460249,0.1616878959569373,1.9106200468833021,108.59188157090642,-106.68126152402313,13.588264969837098,10.756223581242425,25.71670136258025,2.5,2.278499977028198,-1273.2481340857544,16.7578125,12.7578125,56.8359375,473.984375,300.78125
148,30,,148.0,8.0625,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.37213880815485567,11.17346771484954,0.0,285.90201422572625,0.40190991280724414,1.9106200468833021,108.59188157090642,-106.68126152402313,33.77654435359507,26.736898616231173,36.834377877452404,2.5,2.341105914539386,-1308.2329459894077,16.7578125,12.7578125,56.8359375,822.578125,747.65625
149,30,,149.0,22.3125,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.4143165292608858,12.439853791058095,0.0,317.3389920476207,0.4474618516017567,1.9106200468833021,108.59188157090642,-106.68126152402313,13.588264969837098,5.750755080470443,7.922590003993004,2.5,1.9003409903291255,-2938.8272750887886,16.7578125,12.7578125,56.8359375,822.578125,300.78125
