Timestep,skip?,SIM_NUM,H,A,ALPHA,BETA,CQY,CUE_24,DCG,CGR,TCB,TEB,DOP,VP_SAT,VP_AIR,VPD,P_GROSS,P_NET,g_S,g_A,g_C,DTR,T_LIGHT,T_DARK,RH,CO2,PPFD,SIM_STRU,Diurnal,DWCGR,DOC,DCO2C,DCO2P,DNC,DWC
29.0,,10.0,18.90229748571629,0.4619888740626826,0.0201003254908128,0.0321605207853005,0.0696131932842542,0.625,0.2976936388023035,8.938251505039164,78.59315136861107,74.66161888691757,0.3215091299064878,2.539745562364048,205.2475258225233,-202.70778026015924,6.999587431745533,4.9322704956184245,13.412237847313962,2.5,2.1072205518813925,-5193.734929143559,21.31472242217341,16.31472242217341,80.81420787343542,791.8181436724246,217.64533847178257,3.0,,,,,,,
30.0,,11.0,14.431338381054031,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2003817731504623,6.016462738842633,0.0,157.88366808005145,0.2164123150024993,2.539745562364048,205.2475258225233,-202.70778026015924,10.160886163355242,6.370320212445111,17.32270156893588,2.5,2.184704933973563,-4152.178037975393,21.31472242217341,16.31472242217341,80.81420787343542,791.8181436724246,224.91495773049624,1.0,,,,,,,
707.5,,12.0,18.90229748571629,0.5177971737996818,0.0224904792215452,0.0359847667544724,0.0694958732401149,0.625,0.3490385740522284,10.480494003422749,0.0,0.0,0.8041547176835361,2.539745562364048,0.0,-202.70778026015924,0.0,8.093512293523935,22.00854798968034,2.5,2.244863873352982,-5533.081033431584,21.31472242217341,16.31472242217341,80.81420787343542,791.8181436724248,224.91495773049624,2.0,0.7916666666666666,8.733745002852283,1.6889301886884889,1.106005510370777,2.322893908652212,0.0007426509169155,-5524.015918152373
707.5,,13.0,18.90229748571629,0.5177971737996818,0.0224904792215452,0.0359847667544724,0.0694958732401149,0.625,0.3490385740522284,10.480494003422749,0.0,0.0,0.8041547176835361,2.539745562364048,0.0,-202.70778026015924,0.0,8.093512293523935,22.00854798968034,2.5,2.244863873352982,-5533.081033431584,21.31472242217341,16.31472242217341,80.81420787343542,791.8181436724248,224.91495773049624,2.0,0.7916666666666666,8.733745002852283,1.6889301886884889,1.106005510370777,2.322893908652212,0.0007426509169155,-5524.015918152373
29.0,,14.0,20.048993676137933,0.570454521362885,0.0247377708357893,0.0395804333372629,0.0693840294975672,0.625,0.4266882558817977,12.811314882850978,112.648610217691,107.01349236866471,0.4608233163523416,2.468679980927519,186.04663446537944,-183.5779544844519,9.458790196640184,6.495677308572145,15.87379256636194,2.5,2.1598415935400146,-5113.517911077481,20.853089575695243,15.853089575695243,75.36279951339785,798.2644347290151,238.9764183742579,3.0,,,,,,,
707.5,,15.0,20.048993676137933,0.5944180400725264,0.0257769492664239,0.0412431188262782,0.0693840294975672,0.625,0.4466422367358102,13.41121478190699,0.0,0.0,1.029025123550053,2.482954140154087,0.0,-184.6394209252395,0.0,9.856132819687906,24.226017203425545,2.5,2.2660304895461154,-5396.03509053157,20.946737530127287,15.946737530127288,75.36279951339785,798.2644347290151,238.97641837425783,2.0,0.8333333333333334,11.176012318255816,2.292324243849118,1.4152841883894969,3.152780415884336,0.0009503226614586,-5384.38583142878
30.0,,16.0,20.048993676137933,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2957882332819146,8.881041704289487,0.0,228.99445103767152,0.3194512919444678,2.468679980927519,135.95320272153924,-133.4845227406117,10.796134713889456,5.200791444237884,9.269532964037175,2.5,1.9689678835092763,-3423.4837734688517,20.853089575695243,15.853089575695243,55.07121367365714,798.2644347290151,238.9764183742579,1.0,,,,,,,
30.0,,17.0,20.048993676137933,0.0,0.017148682744336,0.0451765692503675,0.0,0.0,0.2957882332819146,8.881041704289487,0.0,228.99445103767152,0.3194512919444678,2.468679980927519,186.04663446537944,-183.5779544844519,10.796134713889456,5.200791444237884,13.365958787185567,2.5,2.106074862299029,-5036.085089885075,20.853089575695243,15.853089575695243,75.36279951339785,759.0534529394708,238.9764183742579,1.0,,,,,,,
29.0,,18.0,20.048993676137933,0.591736557400822,0.0256359766800624,0.0410175626880998,0.0693172699490932,0.625,0.4496443077656263,13.500570340662929,118.70916451031928,112.7708743664606,0.4856158523868765,2.468679980927519,186.04663446537944,-183.5779544844519,9.9676780685681,6.845148153529028,16.72781092923782,2.5,2.174949997012076,-5149.287706414898,20.853089575695243,15.853089575695243,75.36279951339785,798.2644347290151,243.01000389425755,3.0,,,,,,,
707.5,,19.0,15.75811774856461,0.5944180400725264,0.0257769492664239,0.0412431188262782,0.0693840294975672,0.625,0.3598209416410362,10.804253459419984,0.0,0.0,0.8289963610115896,2.468679980927519,0.0,-183.5779544844519,0.0,9.856132819687906,24.085895966502218,2.5,2.2647974766381496,-4214.501843619652,20.853089575695243,15.853089575695243,75.36279951339785,798.2644347290151,238.97641837425783,2.0,0.6666666666666666,9.003544549516645,1.4514913633280229,1.1401718141967845,1.9963290779674951,0.000765592608097,-4205.265402401289
